n;precision;recall;accuracy;f1
5;0.9007438113213296;0.8974048663296047;0.9501216545012166;0.899059109880464
7;0.973670952073065;0.970815420783673;0.9862530413625304;0.972235576291379
10;0.9811369455528491;0.9815620458254782;0.9907542579075426;0.9813466640769241
15;0.977163054561304;0.9773301806142254;0.9886861313868613;0.9772436238238185
20;0.9692636841778939;0.9678063259639357;0.9844282238442823;0.9685311290593274
40;0.911969402951005;0.9107570302086198;0.9562043795620438;0.9113573829444886
