n;precision;recall;accuracy;f1
5;0.6801470258136925;0.6847832445332446;0.9581481481481482;0.6804959653765551
7;0.717964384381051;0.7062981925481926;0.9717989417989419;0.7100837510148885
10;0.7753442113442113;0.7613823152156486;0.9773544973544974;0.7667705946566368
15;0.7895212626879293;0.7976673280423281;0.9773809523809524;0.7921573024459808
20;0.7868401752568419;0.784518759018759;0.9774867724867725;0.784426366000133
40;0.8758838985088985;0.8647429854096521;0.9858465608465609;0.8693946062609326
