n;precision;recall;accuracy;f1
5;0.8720590828924162;0.8614638447971782;0.9555555555555555;0.8657619603447925
7;0.8198144139810807;0.8004232804232805;0.9333333333333333;0.8086999298512728
10;0.8022687189353855;0.807173721340388;0.9359477124183007;0.8041673355987986
15;0.7608978675645343;0.756221340388007;0.9222222222222222;0.7579323253276858
20;0.7805523488856823;0.7608553791887125;0.9202614379084967;0.7695996599021113
40;0.7504305570972237;0.7301234567901235;0.9104575163398693;0.7384851991343611
